# XDK Monitor Logger 1.0
# Start: 2016-05-05 19:05:13
# Timestamp, 	humidity of BME280 (%rh), 	light of BME280 (lux), 	pressure of BME280 (pa), 	temperature of BME280 (mDeg)
644558, 	32.0, 	1536.0, 	100056.0, 	15240.0
647488, 	32.0, 	1536.0, 	100055.0, 	15230.0
650418, 	32.0, 	1536.0, 	100053.0, 	15220.0
653347, 	32.0, 	1536.0, 	100056.0, 	15210.0
656277, 	32.0, 	1536.0, 	100053.0, 	15210.0
659207, 	32.0, 	1536.0, 	100058.0, 	15190.0
662137, 	32.0, 	1536.0, 	100058.0, 	15200.0
665066, 	32.0, 	1536.0, 	100059.0, 	15190.0
667996, 	32.0, 	1536.0, 	100055.0, 	15170.0
670926, 	32.0, 	1536.0, 	100057.0, 	15170.0
673855, 	32.0, 	1536.0, 	100050.0, 	15160.0
676785, 	32.0, 	1536.0, 	100046.0, 	15150.0
679715, 	32.0, 	1536.0, 	100047.0, 	15140.0
682644, 	32.0, 	1536.0, 	100048.0, 	15140.0
685574, 	32.0, 	1536.0, 	100051.0, 	15130.0
688504, 	32.0, 	1536.0, 	100047.0, 	15120.0
691433, 	32.0, 	1536.0, 	100051.0, 	15120.0
694363, 	32.0, 	1536.0, 	100050.0, 	15110.0
697293, 	32.0, 	1536.0, 	100054.0, 	15110.0
700222, 	32.0, 	1536.0, 	100059.0, 	15100.0
703152, 	32.0, 	1536.0, 	100053.0, 	15090.0
706082, 	32.0, 	1536.0, 	100051.0, 	15080.0
709012, 	32.0, 	1536.0, 	100055.0, 	15070.0
711941, 	32.0, 	1536.0, 	100056.0, 	15060.0
714871, 	32.0, 	1536.0, 	100055.0, 	15060.0
717801, 	32.0, 	1536.0, 	100056.0, 	15050.0
720730, 	32.0, 	1536.0, 	100054.0, 	15050.0
723660, 	32.0, 	1536.0, 	100060.0, 	15040.0
726590, 	32.0, 	1536.0, 	100061.0, 	15040.0
729519, 	32.0, 	1536.0, 	100054.0, 	15010.0
732449, 	32.0, 	1536.0, 	100057.0, 	15010.0
735379, 	32.0, 	1536.0, 	100059.0, 	15010.0
738308, 	32.0, 	1536.0, 	100061.0, 	15000.0
741238, 	32.0, 	1536.0, 	100054.0, 	14990.0
744168, 	32.0, 	1536.0, 	100059.0, 	14990.0
747097, 	32.0, 	1536.0, 	100056.0, 	14980.0
750027, 	32.0, 	1536.0, 	100058.0, 	14980.0
752957, 	32.0, 	1536.0, 	100064.0, 	14980.0
755887, 	32.0, 	1536.0, 	100070.0, 	14960.0
758816, 	32.0, 	1536.0, 	100070.0, 	14950.0
761746, 	32.0, 	1536.0, 	100068.0, 	14940.0
764676, 	32.0, 	1536.0, 	100066.0, 	14930.0
767605, 	32.0, 	1536.0, 	100060.0, 	14930.0
770535, 	32.0, 	1536.0, 	100059.0, 	14930.0
773465, 	32.0, 	1536.0, 	100055.0, 	14910.0
776394, 	32.0, 	1536.0, 	100060.0, 	14920.0
779324, 	32.0, 	1536.0, 	100068.0, 	14910.0
782254, 	32.0, 	1536.0, 	100066.0, 	14910.0
785183, 	32.0, 	1536.0, 	100059.0, 	14890.0
788113, 	32.0, 	1536.0, 	100058.0, 	14890.0
791043, 	32.0, 	1536.0, 	100057.0, 	14880.0
793972, 	32.0, 	1536.0, 	100052.0, 	14870.0
796902, 	32.0, 	1536.0, 	100060.0, 	14870.0
799832, 	32.0, 	1536.0, 	100050.0, 	14860.0
802762, 	32.0, 	1536.0, 	100056.0, 	14850.0
805691, 	32.0, 	1536.0, 	100057.0, 	14850.0
808621, 	32.0, 	1536.0, 	100056.0, 	14850.0
811551, 	32.0, 	1536.0, 	100062.0, 	14840.0
814480, 	32.0, 	1536.0, 	100065.0, 	14830.0
817410, 	32.0, 	1536.0, 	100061.0, 	14820.0
820340, 	32.0, 	1536.0, 	100064.0, 	14820.0
823269, 	32.0, 	1536.0, 	100064.0, 	14810.0
826199, 	32.0, 	1536.0, 	100066.0, 	14810.0
829129, 	32.0, 	1536.0, 	100060.0, 	14800.0
832058, 	32.0, 	1536.0, 	100059.0, 	14790.0
834988, 	32.0, 	1536.0, 	100061.0, 	14790.0
837918, 	32.0, 	1536.0, 	100061.0, 	14780.0
840847, 	32.0, 	1536.0, 	100067.0, 	14790.0
843777, 	32.0, 	1536.0, 	100063.0, 	14770.0
846707, 	32.0, 	1536.0, 	100063.0, 	14760.0
849637, 	32.0, 	1536.0, 	100066.0, 	14760.0
852566, 	32.0, 	1536.0, 	100069.0, 	14760.0
855496, 	32.0, 	1536.0, 	100066.0, 	14750.0
